Sysnet,POS,Predicted
b'stav divljenje ili po\xc5\xa1tovanje . ',1,0
b'osoba koji voliti ili jesam voljen ',1,0
b'biti prihvatljiv ili pristati . ',1,0
b'koji mo\xc4\x87i da \xc4\x8diniti po slobodan volja ; koji jesam sputati ograni\xc4\x8denje . ',1,0
b'neki vi\xc5\xa1eg rang ili polo\xc5\xbeaj ili kvalitet . ',1,0
b'koji jesam u \xc5\xbeivot . ',1,0
b'dati sloboda ; osloboditi od kazna ( kazna zatvor ) ',1,0
b'Korisna ili vredan osobina ',1,0
"b'promena nabolje , napredak u razvoj . '",1,0
b'established Or widely recognized as a model of authority Or excellence ',1,0
b'stanje izuzetan sre\xc4\x87a . ',1,0
b'stanje zadovoljstvo jer nem bolest . ',1,0
"b'presuda ( odluka ) da optu\xc5\xbeiti jesam kriv , odluka o nepostojanje krivica , o osloba\xc4\x91anje od krivica '",1,0
"b'zaklanjati od opasnost , povreda , uni\xc5\xa1tenje ili \xc5\xa1teta . '",1,0
b'koji karakterisati \xc5\xbeivotinja za razlika od biljka . ',1,0
b'proizvesti smeh . ',1,0
b'prijateljski narav ',1,0
b'postojan u naklonost ili odanost ',1,0
"b'koji ne predstavljati te\xc5\xa1ko\xc4\x87a , ne iziskivati napor . '",1,0
b'\xc4\x8dinjenje dobra ; ose\xc4\x87aj dobrotvornosti ',1,0
b'upadljiv uspeh . ',1,0
b'ose\xc4\x87aj spontano dobar rapolo\xc5\xbeenja ',1,0
"b'imati \xc5\xbeelja , \xc4\x8de\xc5\xbenja ili velik apetit za ne\xc5\xa1to . '",1,0
b'nastrojen prema ne\xc5\xa1to . ',1,0
b'koji motivisati briga za otklanjanje patnja drugi . ',1,0
"b'pro\xc5\xa1iren zna\xc4\x8denje , naro\xc4\x8dito u psiholo\xc5\xa1ki slislu , ogledati se u ja\xc4\x8dina strast ili entuzijazam '",1,0
"b'saglasan zakon , prema zakon '",1,0
b'imati ne\xc5\xbeeljen ili negativan kvalitet ',0,1
b'nesmanjen i nenaru\xc5\xa1en celovitost ili ukupnost . ',1,0
b'kvalitet koji imati ne\xc5\xa1to \xc5\xa1to imati velik vrednost ili cena ',1,0
"b'imati po\xc5\xbeeljan ili pozitivan kvalitet , posebno onaj koji jesam pogodan za odre\xc4\x91enu stvar '",1,0
b'koji odgovarati za svoj postupak . ',1,0
"b'kvalitet da \xc4\x8dovek ne stavljati sebe prvo , ve\xc4\x87 da jesam spreman da svoj vreme , novac ili trud posvetiti drugi '",1,0
b'Pomo\xc4\x87 u nevolja . ',1,0
b'u rimski mitologija boginja sre\xc4\x87a i sretan slu\xc4\x8dajnost ; u gr\xc4\x8dki mitologija ona odgovarati nTiha ',1,0
b'koji nemati neki izrazit kvalitet ili karakteristika . ',0,1
b'kvalitet onaj \xc5\xa1to imati velik cena ',1,0
"b'osobina onaj na \xc5\xa1ta se mo\xc4\x87i osloniti , \xc5\xa1to jesam pouzdano '",1,0
b'sposobnost da se razumeti ; razumeti i profitirati na iskustvo . ',1,0
b'veseo i ozaren ',1,0
b'\xc4\x8cin koji se ne\xc5\xa1to \xc4\x8diniti \xc4\x8distiti . ',1,0
"b'stanje pozitivan ose\xc4\x87anje , od zadovoljstvo do jak ushi\xc4\x87enje . '",1,0
b'koji jesam osloboditi stresati ili pogodovati mentalan opu\xc5\xa1tenost ; koji imati ili pru\xc5\xbeati du\xc5\xa1evan mir ',1,0
b'gajiti ne\xc5\xbean ose\xc4\x87anje prema neki . ',1,0
b'nagon za polni prisnost . ',1,0
b'Na\xc4\x8diniti napet . ',1,0
b'osobina onaj \xc5\xa1to jesam povezati ili stepen ne\xc5\xa1to \xc5\xa1to jesam povezati ',0,1
"b'onaj \xc5\xa1to jesam u saglasnost s norma ili \xc5\xa1to \xc4\x8diniti norma ( standard , socijalan norma , ird ) . '",1,0
b'biti \xc5\xa1ta u sklad sa princip pravda ',1,0
b'koji koristiti intelekt ili jesam privla\xc4\x8dan intelekt . ',1,0
b'umetnik nenadma\xc5\xa1an ve\xc5\xa1tina . ',1,0
b'ispuniti divljenje i ushi\xc4\x87enje ',0,1
b'kvalitet neki ili ne\xc5\xa1to \xc5\xa1to jesam va\xc5\xbean ili vredan pa\xc5\xbenja . ',0,1
b'profesor visok rang . ',1,0
b'biti privla\xc4\x8dan koji ',1,0
b'Ose\xc4\x87anje velik sre\xc4\x87a . ',1,0
b'Ose\xc4\x87anje naklonjenost drugi osoba ; u\xc5\xbeivanje u njihov dru\xc5\xa1tvo ',1,0
b'osoba koji jesam umreti i proglasiti za svetac proces kanonizacije ',1,0
b'radnja koji karakterisati dobro raspolo\xc5\xbeenje ',1,0
b'postati stabilan ili stabilan . ',1,0
b'veseo ose\xc4\x87anje ',1,0
b'stanje biti zaposliti ili imati posati . ',1,0
b'gledati neki sa divljenje . ',1,0
b'odbolovati bolest ili prevazi\xc4\x87i \xc5\xa1ok . ',1,0
