Sysnet,NEG,Predicted
b'osoba koji ispoljavati pobo\xc5\xbenost . ',0,1
b'koji obezbe\xc4\x91ivati interpretacija ',0,1
"b'Zavr\xc5\xa1iti pre kraj , kao ra\xc4\x8dunarski proces , misija itd . '",1,0
b'koji drugi \xc5\xbeeti zlo ; koji nastajati iz velik zloba ili mr\xc5\xbenja . ',1,0
b'onaj koji jesam po moralan kvalitet ili izgled nalik na an\xc4\x91eo ili svetac ',0,1
"b'nastojanje da se ra\xc5\xa1\xc4\x8dlaniti sopstven psiholo\xc5\xa1ki svet , uklju\xc4\x8divati i mogu\xc4\x87nost da se razumeti i nesvesno . '",0,1
b'sav koji ne pripadati sve\xc5\xa1tenstvo . ',0,1
b'koji jesam spojiti ili vezati . ',1,0
b'taj neprekidan nerazumljiv zvuk ; obi\xc4\x8dno ga pratiti kretanje usna koji ne proivodi artikulisan govor . ',1,0
"b'biti la\xc5\xbeljiv , neiskren prema neki . '",1,0
b'priroda ili svojstvo onaj ko jesam emocionalan . ',0,1
b'izazvati iznenadan strah u koji ili ispuniti koji iznenadan panika ',0,1
b'vest koji jesam upravo pristignuti ',0,1
b'\xc4\x8din nameran odstupanje od istina ',1,0
b'patiti od ne\xc5\xa1to ; bolovati od ne\xc5\xa1to . ',1,0
b'zbog \xc5\xa1teta koji jesam nanositi u poxlima ve\xc4\x87 jesam istrebiti ',0,1
b'ne ostvariti ni profit ni gubitak . ',0,1
"b'zadovoljan stanje sre\xc4\x87a , zdravlje i prosperitet . '",0,1
b'oporavak ili na\xc4\x8din \xc4\x8duvanje od gubitak ili opasnost . ',0,1
b'nedostatak briga za dobrobit drugi ',1,0
b'u stanje kada ne funkcionisati ',0,1
b'Ose\xc4\x87anje velik \xc5\xbealost povezati sa gubitak ili li\xc5\xa1avanje . ',1,0
b'stanje bez o\xc5\xa1te\xc4\x87enje ili propadanje ',0,1
b'onaj \xc5\xa1to jesam otkriven instinkt ili zaklu\xc4\x8divanjem a ne prepoznavanje uo\xc4\x8den znak ',0,1
b'stanje degeneracija mentalan ili moralan kvalitet ',1,0
b'nesposobnost osoba da se setiti ili uraditi onaj \xc5\xa1to obi\xc4\x8dno mo\xc4\x87i ; \xc4\x8desto uzrokovati emoionalnom napetost . ',1,0
b'otarasiti se neki ubistvo . ',1,0
"b'koji karakterisati ili koji pokazivati prihvatanje , slaganje ili uverenost . '",0,1
b'Ose\xc4\x87anja koji se javljati kada osoba jesam u sre\xc4\x87an stanje . ',1,0
b'Instrumentalisi ne uklju\xc4\x8divati guda\xc4\x8d . ',0,1
b'ispuniti divljenje i ushi\xc4\x87enje ',1,0
b'biti zahvatiti vatra ili bolest ',0,1
b'koji ose\xc4\x87ati ili ispoljavati velik uzbu\xc4\x91enje ili zainteresovanost ',0,1
b'biti zabrinuti i prestra\xc5\xa1iti zbog ne\xc5\xa1to ',1,0
b'stanje u koji se malo novac i materijalan dobro . ',1,0
b'razgnevxlen ne\xc5\xa1to nepravedan ili pogre\xc5\xa1an ',1,0
b'protivno zakon ili zakon zabraniti ',1,0
b'koji odrati ( po pitanje cena ) ; za \xc5\xa1ta nerazuman cena tra\xc5\xbeiti ',1,0
"b'zaprljati , one\xc4\x8distiti . '",1,0
b'bolest krv ili naru\xc5\xa1avanje funkcionisanje krvni \xc4\x87elija . ',1,0
"b'koji jesam normalan , tipi\xc4\x8dan , uobi\xc4\x8dajen , regularan ili jesam u saglasnost sa norma . '",1,0
b'osobina onaj \xc5\xa1to zaslu\xc5\xbeivati poverenje . ',0,1
b'pona\xc5\xa1anje koji jesam u sklad sa prihva\xc4\x87en standard ',0,1
b'preteran ili nekontrolisan strah ',1,0
b'koji nemati ili ne obavljati funkcija . ',1,0
b'Veli\xc4\x8dina ili gabarit . ',0,1
b'prolivanje krv koji za posledica imati ubistvo ',1,0
b'koji odra\xc5\xbeavati sumornost i smrknutost ',1,0
b'Poku\xc5\xa1aj da se za sebe dobiti li\xc4\x8dan priznanje ( posebno neprihvatljiv sredstvo ) . ',1,0
b'divlja\xc4\x8dki i prekomeran ubijanje mnogi ljudi ',1,0
b'smanjiti bol ili neprijatnost ; ubla\xc5\xbeiti ',0,1
b'intenzivan oja\xc4\x91enost ',1,0
b'opovrgavanje ili povla\xc4\x8denje prethodan tvrdnja . ',1,0
b'koji na sebe imati prljav\xc5\xa1tina ili ne\xc4\x8disto\xc4\x87a . ',1,0
